,IPO Name,Mainboard/SME,NSE/BSE,Issue Price,List Price,List Gain(%),Current Price,Current Gain(%)
0, Quality Power Elec...,Mainboard,"NSE, BSE",425.0,432.05,1.66,367.55,-13.52
1, Hexaware Technolog...,Mainboard,"NSE, BSE",708.0,731.0,3.25,771.75,9.0
2, Ajax Engineering L...,Mainboard,"NSE, BSE",629.0,593.0,-5.72,671.2,6.71
3, Dr Agarwal's Healt...,Mainboard,"NSE, BSE",402.0,396.9,-1.27,397.15,-1.21
4, Denta Water & Infr...,Mainboard,"NSE, BSE",294.0,330.0,12.24,306.65,4.3
5, Stallion India Flu...,Mainboard,"NSE, BSE",90.0,120.0,33.33,76.18,-15.36
6, Laxmi Dental Ltd,Mainboard,"NSE, BSE",428.0,528.0,23.36,401.45,-6.2
7, Quadrant Future Te...,Mainboard,"NSE, BSE",290.0,374.0,28.97,471.6,62.62
8, Capital Infra Trus...,Mainboard,"NSE, BSE",99.0,99.0,0.0,87.57,-11.55
9, Standard Glass Lin...,Mainboard,"NSE, BSE",140.0,176.0,25.71,167.0,19.29
10, Indo Farm Equipmen...,Mainboard,"NSE, BSE",215.0,258.4,20.19,164.0,-23.72
11, Unimech Aerospace ...,Mainboard,"NSE, BSE",785.0,1491.0,89.94,1096.7,39.71
12, Senores Pharmaceut...,Mainboard,"NSE, BSE",391.0,593.7,51.84,496.7,27.03
13, Ventive Hospitalit...,Mainboard,"NSE, BSE",643.0,718.15,11.69,752.15,16.98
14, Carraro India Ltd,Mainboard,"NSE, BSE",704.0,660.0,-6.25,435.2,-38.18
15, Dam Capital Adviso...,Mainboard,"NSE, BSE",283.0,392.9,38.83,223.0,-21.2
16, Mamata Machinery L...,Mainboard,"NSE, BSE",243.0,600.0,146.91,377.85,55.49
17, Sanathan Textiles ...,Mainboard,"NSE, BSE",321.0,419.1,30.56,425.15,32.45
18, Concord Enviro Sys...,Mainboard,"NSE, BSE",701.0,832.0,18.69,584.0,-16.69
19, Transrail Lighting...,Mainboard,"NSE, BSE",432.0,585.15,35.45,537.55,24.43
20, International Gemm...,Mainboard,"NSE, BSE",417.0,504.85,21.07,378.55,-9.22
21, Inventurus Knowled...,Mainboard,"NSE, BSE",1329.0,1856.0,39.65,1670.7,25.71
22, One Mobikwik Syste...,Mainboard,"NSE, BSE",279.0,442.25,58.51,274.05,-1.77
23, Sai Life Sciences ...,Mainboard,"NSE, BSE",549.0,660.0,20.22,751.6,36.9
24, Vishal Mega Mart L...,Mainboard,"NSE, BSE",78.0,110.0,41.03,126.2,61.79
25, Suraksha Diagnosti...,Mainboard,"NSE, BSE",441.0,437.0,-0.91,303.75,-31.12
26, Enviro Infra Engin...,Mainboard,"NSE, BSE",148.0,218.0,47.3,215.3,45.47
27, NTPC Green Energy ...,Mainboard,"NSE, BSE",108.0,111.6,3.33,104.65,-3.1
28, Zinka Logistics So...,Mainboard,"NSE, BSE",273.0,279.05,2.22,454.95,66.65
29, Niva Bupa Health I...,Mainboard,"NSE, BSE",74.0,78.5,6.08,90.45,22.23
30, ACME Solar Holding...,Mainboard,"NSE, BSE",289.0,259.0,-10.38,233.85,-19.08
31, Swiggy Ltd,Mainboard,"NSE, BSE",390.0,412.0,5.64,321.15,-17.65
