,Company,Listing Date_x,Issue Price (Rs.)_x,Issue Amount (Rs.cr.),Listing at,QIB (x),NII (x),Retail (x),Total (x),Applications,Mainboard/SME_x,Listing Date_y,Subscription,Issue Price (Rs.)_y,Close Price on Listing (Rs.),Market Price (Rs.),IPO Name,Mainboard/SME_y,NSE/BSE,Issue Price,List Price,List Gain(%),Current Price,Current Gain(%)
0,Bharti Hexacom Limited,2024-04-12,570,4275.0,"BSE, NSE",48.57,10.52,2.83,29.88,"6,19,251",Mainboard,2024-12-04,29.88x,Rs 570,Rs 813.30 (42.68%),"Rs 1,686.25 (195.83%)", Bharti Hexacom Ltd,Mainboard,"NSE, BSE",570.0,755.2,32.49,1665.35,192.17
1,DCG Cables & Wires Limited,2024-04-16,100,49.99,NSE SME,0.0,11.53,21.7,16.96,42926,SME,2024-04-16,16.96x,Rs 100,Rs 91.55 (-8.45%),Rs 73.15 (-26.85%), DCG Cables & Wires...,SME,NSE,100.0,85.5,-10.0,74.6,-14.499999999999998
2,Teerth Gopicon Limited,2024-04-16,111,44.4,NSE SME,0.0,97.12,44.33,75.54,70177,SME,2024-04-16,75.54x,Rs 111,Rs 131.25 (18.24%),Rs 326.40 (194.05%), Teerth Gopicon Ltd,SME,NSE,111.0,131.25,12.61,319.9,18.24324324324324
3,Greenhitech Ventures Limited,2024-04-22,50,6.3,BSE SME,0.0,921.6,597.41,769.95,"1,63,764",SME,2024-04-22,769.95x,Rs 50,Rs 99.75 (99.5%),Rs 124.90 (149.8%), Greenhitech Ventur...,SME,BSE,50.0,99.75,90.0,127.35,154.7
4,Ramdevbaba Solvent Limited,2024-04-23,85,50.27,NSE SME,65.95,314.46,79.96,126.21,97956,SME,2024-04-23,126.21x,Rs 85,Rs 117.60 (38.35%),Rs 102.25 (20.29%), Ramdevbaba Solvent...,SME,NSE,85.0,117.6,31.76,105.5,38.35294117647059
5,Grill Splendour Services Limited,2024-04-23,120,16.47,NSE SME,0.0,4.59,12.78,8.68,6939,SME,2024-04-23,8.68x,Rs 120,Rs 127.35 (6.12%),Rs 114.95 (-4.21%), Grill Splendour Se...,SME,NSE,120.0,127.35,1.08,110.25,6.124999999999995
6,Faalcon Concepts Limited,2024-04-26,62,12.09,BSE SME,0.0,93.27,47.17,71.28,27324,SME,2024-04-26,71.28x,Rs 62,Rs 90.25 (45.56%),Rs 48.25 (-22.18%), Faalcon Concepts L...,SME,BSE,62.0,90.25,53.23,48.25,-22.18
7,Varyaa Creations Limited,2024-04-30,150,20.1,BSE SME,0.0,1.08,6.09,3.59,4269,SME,2024-04-30,3.59x,Rs 150,Rs 270.75 (80.5%),Rs 61.24 (-59.17%), Varyaa Creations L...,SME,BSE,150.0,270.75,90.0,60.02,-59.99
8,Emmforce Autotech Limited,2024-04-30,98,53.9,BSE SME,160.58,861.98,267.62,364.37,"4,79,142",SME,2024-04-30,364.37x,Rs 98,Rs 195.51 (99.5%),Rs 80.35 (-18.01%), Emmforce Autotech ...,SME,BSE,98.0,195.51,90.0,82.49,-15.83
9,JNK India Limited,2024-04-30,415,649.47,"BSE, NSE",74.4,23.8,4.2,28.46,"4,21,188",Mainboard,2024-04-30,28.46x,Rs 415,Rs 694.55 (67.36%),Rs 379.00 (-8.67%), JNK India Ltd,Mainboard,"NSE, BSE",415.0,620.0,49.4,375.35,-9.55
10,Shivam Chemicals Limited,2024-04-30,44,20.18,BSE SME,0.0,4.33,8.88,6.61,7689,SME,2024-04-30,6.61x,Rs 44,Rs 47.40 (7.73%),Rs 55.00 (25%), Shivam Chemicals L...,SME,BSE,44.0,47.4,9.09,55,25.0
11,Storage Technologies and Automation Ltd,2024-05-08,78,29.95,BSE SME,117.86,577.02,242.74,278.82,"2,68,741",SME,2024-08-05,278.82x,Rs 78,Rs 153.05 (96.22%),Rs 104.70 (34.23%), Storage Technologi...,SME,BSE,78.0,153.05,90.0,102.5,31.41
12,Amkay Products Limited,2024-05-08,55,12.61,BSE SME,173.04,987.34,973.14,748.03,"5,10,613",SME,2024-08-05,748.03x,Rs 55,Rs 109.72 (99.49%),Rs 45.00 (-18.18%), Amkay Products Ltd,SME,BSE,55.0,109.72,90.0,45.5,-17.27
14,Sai Swami Metals & Alloys Limited,2024-05-08,60,15.0,BSE SME,0.0,533.83,529.01,543.72,"4,29,046",SME,2024-08-05,543.72x,Rs 60,Rs 119.70 (99.5%),Rs 34.87 (-41.88%), Sai Swami Metals a...,SME,BSE,60.0,119.7,90.0,34.87,-41.88
15,Slone Infosystems Limited,2024-05-10,79,11.06,NSE SME,0.0,756.88,540.8,667.81,"2,24,973",SME,2024-10-05,667.81x,Rs 79,Rs 112.60 (42.53%),Rs 260.00 (229.11%), Slone Infosystems ...,SME,NSE,79.0,112.6,50.0,268.0,42.531645569620245
16,Winsol Engineers Limited,2024-05-14,75,23.36,NSE SME,207.23,1087.81,780.15,682.14,"5,04,758",SME,2024-05-14,682.14x,Rs 75,Rs 383.25 (411%),Rs 202.20 (169.6%), Winsol Engineers L...,SME,NSE,75.0,383.25,386.67,212.4,411.00000000000006
17,Refractory Shapes Limited,2024-05-14,31,18.6,NSE SME,90.59,464.43,259.56,255.08,"1,29,522",SME,2024-05-14,255.08x,Rs 31,Rs 78.75 (154.03%),Rs 63.00 (103.23%), Refractory Shapes ...,SME,NSE,31.0,78.75,141.94,66.15,154.03225806451613
18,Indegene Limited,2024-05-13,452,1841.76,"BSE, NSE",192.72,55.91,7.86,70.3,"27,93,616",Mainboard,2024-05-13,70.30x,Rs 452,Rs 570.90 (26.31%),Rs 610.35 (35.03%), Indegene Ltd,Mainboard,"NSE, BSE",452.0,659.7,45.95,612.05,35.41
19,Silkflex Polymers (India) Limited,2024-05-15,52,18.11,NSE SME,0.0,36.59,35.97,39.3,29711,SME,2024-05-15,39.30x,Rs 52,Rs 58.70 (12.88%),Rs 95.05 (82.79%), Silkflex Polymers ...,SME,NSE,52.0,58.7,15.38,97.2,12.884615384615389
