Company,Issue Type,Listing Date,Issue Amount (Rs.cr.),Subscription,Issue Price (Rs.),Close Price on Listing (Rs.),Market Price (Rs.),52 Week High,52 Week Low,Recommendation by Dilip Davda
Unimech Aerospace and Manufacturing Limited,Mainline,31-12-2024,Rs 500.00 Cr,184.34x,Rs 785,"Rs 1,376.25 (75.32%)","Rs 1,038.10 (32.24%)","Rs 1,523.75 (Jan 02, 2025)","Rs 850.00 (Mar 17, 2025)",May apply
Ventive Hospitality Limited,Mainline,30-12-2024,Rs 1600.00 Cr,10.33x,Rs 643,Rs 704.35 (9.54%),Rs 756.95 (17.72%),"Rs 840.00 (May 13, 2025)","Rs 523.40 (Mar 03, 2025)",May apply
Senores Pharmaceuticals Limited,Mainline,30-12-2024,Rs 582.11 Cr,97.86x,Rs 391,Rs 557.80 (42.66%),Rs 541.10 (38.39%),"Rs 665.00 (Mar 19, 2025)","Rs 435.25 (Jan 13, 2025)",May apply
Carraro India Limited,Mainline,30-12-2024,Rs 1250.00 Cr,1.18x,Rs 704,Rs 636.20 (-9.63%),Rs 429.95 (-38.93%),"Rs 692.40 (Jan 03, 2025)","Rs 253.15 (Apr 09, 2025)",May apply
Transrail Lighting Limited,Mainline,27-12-2024,Rs 838.91 Cr,81.98x,Rs 432,Rs 553.55 (28.14%),Rs 528.70 (22.38%),"Rs 718.90 (Jan 06, 2025)","Rs 394.55 (Apr 07, 2025)",Apply
DAM Capital Advisors Limited,Mainline,27-12-2024,Rs 840.25 Cr,81.88x,Rs 283,Rs 415.10 (46.68%),Rs 204.00 (-27.92%),"Rs 456.90 (Dec 27, 2024)","Rs 195.55 (Apr 07, 2025)",Apply
Mamata Machinery Limited,Mainline,27-12-2024,Rs 179.39 Cr,194.95x,Rs 243,Rs 630.00 (159.26%),Rs 370.90 (52.63%),"Rs 630.00 (Dec 30, 2024)","Rs 311.55 (Apr 07, 2025)",Apply
Newmalayalam Steel Limited,SME,27-12-2024,Rs 41.76 Cr,50.69x,Rs 90,Rs 85.50 (-5%),Rs 31.50 (-65%),,,May apply
Sanathan Textiles Limited,Mainline,27-12-2024,Rs 550.00 Cr,36.90x,Rs 321,Rs 388.35 (20.98%),Rs 442.75 (37.93%),"Rs 468.00 (May 13, 2025)","Rs 286.95 (Mar 03, 2025)",Apply
Concord Enviro Systems Limited,Mainline,27-12-2024,Rs 500.33 Cr,10.67x,Rs 701,Rs 827.10 (17.99%),Rs 543.10 (-22.52%),"Rs 860.00 (Dec 27, 2024)","Rs 415.00 (Feb 27, 2025)",May apply
Identical Brains Studios Limited,SME,26-12-2024,Rs 19.95 Cr,544.28x,Rs 54,Rs 99.75 (84.72%),Rs 50.20 (-7.04%),,,Apply
