,Date,Open,High,Low,Close,Index Name
0,1-April-2024,73968.62,74254.62,73909.39,74014.55,SENSEX
1,2-April-2024,74022.3,74099.78,73743.77,73903.91,SENSEX
2,3-April-2024,73757.23,74151.21,73540.27,73876.82,SENSEX
3,4-April-2024,74413.82,74501.73,73485.12,74227.63,SENSEX
4,5-April-2024,74287.02,74361.11,73946.92,74248.22,SENSEX
5,8-April-2024,74555.44,74869.3,74410.07,74742.5,SENSEX
6,9-April-2024,75124.28,75124.28,74603.37,74683.7,SENSEX
7,10-April-2024,74953.96,75105.14,74807.55,75038.15,SENSEX
8,12-April-2024,74889.64,74951.88,74189.31,74244.9,SENSEX
9,15-April-2024,73315.16,73905.8,73315.16,73399.78,SENSEX
10,16-April-2024,72892.14,73135.43,72685.03,72943.68,SENSEX
11,18-April-2024,73183.1,73473.05,72365.67,72488.99,SENSEX
12,19-April-2024,71999.65,73210.17,71816.46,73088.33,SENSEX
13,22-April-2024,73666.51,73767.8,73227.32,73648.62,SENSEX
14,23-April-2024,74048.94,74059.89,73688.31,73738.45,SENSEX
15,24-April-2024,73957.57,74121.61,73788.61,73852.94,SENSEX
16,25-April-2024,73572.34,74571.25,73556.15,74339.44,SENSEX
17,26-April-2024,74509.31,74515.91,73616.65,73730.16,SENSEX
18,29-April-2024,73982.75,74721.15,73922.34,74671.28,SENSEX
19,30-April-2024,74800.89,75111.39,74346.4,74482.78,SENSEX
20,2-May-2024,74391.73,74812.43,74360.69,74611.11,SENSEX
21,3-May-2024,75017.82,75095.18,73467.73,73878.15,SENSEX
22,6-May-2024,74196.68,74359.69,73786.29,73895.54,SENSEX
23,7-May-2024,73973.3,74026.8,73259.26,73511.85,SENSEX
24,8-May-2024,73225.0,73684.93,73073.92,73466.39,SENSEX
25,9-May-2024,73499.49,73499.49,72334.18,72404.17,SENSEX
26,10-May-2024,72475.45,72946.54,72366.29,72664.47,SENSEX
27,13-May-2024,72476.65,72863.56,71866.01,72776.13,SENSEX
28,14-May-2024,72696.72,73286.26,72683.99,73104.61,SENSEX
29,15-May-2024,73200.23,73301.47,72822.66,72987.03,SENSEX
30,16-May-2024,73338.24,73749.47,72529.97,73663.72,SENSEX
31,17-May-2024,73711.31,74070.84,73459.8,73917.03,SENSEX
32,18-May-2024,73921.46,74162.76,73920.63,74005.94,SENSEX
33,21-May-2024,73842.96,74189.19,73762.37,73953.31,SENSEX
34,22-May-2024,74165.52,74307.79,73860.33,74221.06,SENSEX
35,23-May-2024,74253.53,75499.91,74158.35,75418.04,SENSEX
36,24-May-2024,75335.45,75636.5,75244.22,75410.39,SENSEX
37,27-May-2024,75655.46,76009.68,75175.27,75390.5,SENSEX
38,28-May-2024,75585.4,75585.4,75083.22,75170.45,SENSEX
39,29-May-2024,74826.94,74986.22,74454.55,74502.9,SENSEX
40,30-May-2024,74365.88,74493.55,73668.73,73885.6,SENSEX
41,31-May-2024,74208.53,74478.89,73765.15,73961.31,SENSEX
42,3-June-2024,76583.29,76738.89,75678.43,76468.78,SENSEX
43,4-June-2024,76285.78,76300.46,70234.43,72079.05,SENSEX
44,5-June-2024,73027.88,74534.82,71879.44,74382.24,SENSEX
45,6-June-2024,75078.7,75297.73,74474.94,75074.51,SENSEX
46,7-June-2024,75031.79,76795.31,74941.88,76693.36,SENSEX
47,10-June-2024,76935.41,77079.04,76379.73,76490.08,SENSEX
48,11-June-2024,76680.9,76860.53,76296.44,76456.59,SENSEX
49,12-June-2024,76679.11,77050.53,76533.78,76606.57,SENSEX
50,13-June-2024,77102.05,77145.46,76719.7,76810.9,SENSEX
51,14-June-2024,76912.38,77081.3,76549.05,76992.77,SENSEX
52,18-June-2024,77235.31,77366.77,77071.44,77301.14,SENSEX
53,19-June-2024,77543.22,77851.63,76954.87,77337.59,SENSEX
54,20-June-2024,77554.83,77643.09,77100.36,77478.93,SENSEX
55,21-June-2024,77729.48,77808.45,76802.0,77209.9,SENSEX
56,24-June-2024,76885.65,77423.02,76745.94,77341.08,SENSEX
57,25-June-2024,77529.19,78164.71,77459.6,78053.52,SENSEX
58,26-June-2024,78094.02,78759.4,77945.94,78674.25,SENSEX
59,27-June-2024,78758.67,79396.03,78467.34,79243.18,SENSEX
60,28-June-2024,79457.58,79671.58,78905.89,79032.73,SENSEX
61,1-July-2024,79043.35,79561.0,78971.79,79476.19,SENSEX
62,2-July-2024,79840.37,79855.87,79231.11,79441.45,SENSEX
63,3-July-2024,80013.77,80074.3,79754.95,79986.8,SENSEX
64,4-July-2024,80321.79,80392.64,79986.41,80049.67,SENSEX
65,5-July-2024,79778.98,80149.87,79478.96,79996.6,SENSEX
66,8-July-2024,79915.0,80067.46,79731.83,79960.38,SENSEX
67,9-July-2024,80107.21,80397.17,79998.56,80351.64,SENSEX
68,10-July-2024,80481.36,80481.36,79435.76,79924.77,SENSEX
69,11-July-2024,80170.09,80170.09,79464.38,79897.34,SENSEX
70,12-July-2024,80093.62,80893.51,79843.39,80519.34,SENSEX
71,15-July-2024,80686.54,80862.54,80556.97,80664.86,SENSEX
72,16-July-2024,80731.49,80898.3,80598.06,80716.55,SENSEX
73,18-July-2024,80514.25,81522.55,80390.37,81343.46,SENSEX
74,19-July-2024,81585.06,81587.76,80499.1,80604.65,SENSEX
75,22-July-2024,80408.9,80800.92,80100.65,80502.08,SENSEX
76,23-July-2024,80724.3,80766.41,79224.32,80429.04,SENSEX
77,24-July-2024,80343.38,80519.58,79750.51,80148.88,SENSEX
78,25-July-2024,79542.11,80143.1,79477.83,80039.8,SENSEX
79,26-July-2024,80158.5,81427.18,80013.6,81332.72,SENSEX
80,29-July-2024,81679.65,81908.43,81135.91,81355.84,SENSEX
81,30-July-2024,81349.28,81815.27,81230.44,81455.4,SENSEX
82,31-July-2024,81655.9,81828.04,81434.32,81741.34,SENSEX
83,1-August-2024,81949.68,82129.49,81700.21,81867.55,SENSEX
84,2-August-2024,81158.99,81345.6,80868.91,80981.95,SENSEX
85,5-August-2024,78588.19,79780.61,78295.86,78759.4,SENSEX
86,6-August-2024,78981.97,79852.08,78496.57,78593.07,SENSEX
87,7-August-2024,79565.4,79639.2,79106.2,79468.01,SENSEX
88,8-August-2024,79420.49,79626.92,78798.94,78886.22,SENSEX
89,9-August-2024,79984.24,79984.24,79549.09,79705.91,SENSEX
90,12-August-2024,79330.12,80106.18,79226.13,79648.92,SENSEX
91,13-August-2024,79552.51,79692.55,78889.38,78956.03,SENSEX
92,14-August-2024,79065.22,79228.94,78895.72,79105.88,SENSEX
93,16-August-2024,79754.85,80518.21,79306.69,80436.84,SENSEX
94,19-August-2024,80680.25,80724.4,80332.65,80424.68,SENSEX
95,20-August-2024,80722.54,80942.96,80517.95,80802.86,SENSEX
96,21-August-2024,80667.25,80952.83,80626.38,80905.3,SENSEX
97,22-August-2024,81207.24,81236.45,80954.02,81053.19,SENSEX
98,23-August-2024,81165.65,81231.49,80883.26,81086.21,SENSEX
99,26-August-2024,81388.26,81824.27,81278.44,81698.11,SENSEX
100,27-August-2024,81815.23,81919.11,81600.51,81711.76,SENSEX
101,28-August-2024,81779.84,82039.26,81578.32,81785.56,SENSEX
102,29-August-2024,81822.56,82285.83,81682.78,82134.61,SENSEX
103,30-August-2024,82637.03,82637.03,82256.02,82365.77,SENSEX
104,2-September-2024,82725.28,82725.28,82440.93,82559.84,SENSEX
105,3-September-2024,82652.69,82675.06,82400.76,82555.44,SENSEX
106,4-September-2024,81845.5,82408.54,81833.69,82352.64,SENSEX
107,5-September-2024,82469.79,82617.49,82130.44,82201.16,SENSEX
108,6-September-2024,82171.08,82254.79,80981.93,81183.93,SENSEX
109,9-September-2024,80973.75,81653.36,80895.05,81559.54,SENSEX
110,10-September-2024,81768.72,82196.55,81445.3,81921.29,SENSEX
