,1,2,3,4,5,6,7,8
0,Month,Type of Client,Number of Client accounts (other than closed),"Number of Client Accounts
Active ",Demat Value (in Rs Crore) of Equity Security ,Demat Value (in Rs Crore) of Debt Security,Demat Value (in Rs Crore) of MF Security , Demat Value (in Rs Crore) of Others Security
1,Jan-2025,Individual,149108172,149012263,2877602.341,71414.21487,337025.0999,70105.29745
2,Jan-2025,Mutual Funds,493,493,182787.4533,651,4977.641749,0.306739
3,Jan-2025,AIF,22,22,0,0,0,562.2429663
4,Jan-2025,Bank,919,884,152969.4716,1682.081303,0.135615832,795.3096028
5,Jan-2025,Corporate,88744,87328,3181983.084,75179.99052,32147.93642,62459.01016
6,Jan-2025,FI,26,26,192.2255522,0.000107,0,122.969843
7,Jan-2025,FII,25,25,1.084731,0,0,52.318
8,Jan-2025,Trusts,2239,2214,53760.96243,10405.97519,17500.58773,1906.574683
9,Jan-2025,Foreign National,1289,1284,899.9755156,0.352,10.21605499,8.0432592
10,Jan-2025,Clearing Member,3315,3103,69.82077229,1.275871785,19.46791948,0.872676006
11,Jan-2025,NRI,113883,113432,68466.47013,713.6242284,8464.333458,3343.406809
12,,,149319127.00,149221074.00,6518732.89,160048.51,400145.42,139356.35
0,Month,Type of Client,Number of Client accounts (other than closed),"Number of Client Accounts
Active ",Demat Value (in Rs Crore) of Equity Security ,Demat Value (in Rs Crore) of Debt Security,Demat Value (in Rs Crore) of MF Security , Demat Value (in Rs Crore) of Others Security
1,Dec-2024,Individual,146328353,146230541,3011344.274,70937.58977,343844.7379,68251.27649
2,Dec-2024,Mutual Funds,489,488,202807.3841,702.595345,4367.124314,0.231947
3,Dec-2024,AIF,23,23,0,0,0,588.9303009
4,Dec-2024,Bank,919,883,142638.072,1712.496679,0.081086046,795.22433
5,Dec-2024,Corporate,87778,86351,3270887.39,74543.89425,32635.85629,61761.40465
6,Dec-2024,FI,26,26,192.6833867,0.000106,0,122.9702715
7,Dec-2024,FII,24,24,1.084731,0,0,0
8,Dec-2024,Trusts,2172,2146,52146.61879,10335.09431,17696.30201,1895.998566
9,Dec-2024,Foreign National,1272,1267,970.0514997,0.352,9.481871972,8.0432592
10,Dec-2024,Clearing Member,3307,3091,150.5269494,1.2758717,17.74018835,1.126758369
11,Dec-2024,NRI,110952,110476,73350.17735,705.3822356,8627.307446,3164.293597
12,,,146535315.00,146435316.00,6754488.26,158938.68,407198.63,136589.50
0,Month,Type of Client,Number of Client accounts (other than closed),"Number of Client Accounts
Active ",Demat Value (in Rs Crore) of Equity Security ,Demat Value (in Rs Crore) of Debt Security,Demat Value (in Rs Crore) of MF Security , Demat Value (in Rs Crore) of Others Security
1,Nov-2024,Individual,143048989,142952867,2999118.147,70077.24602,339229.1543,66626.78008
2,Nov-2024,Mutual Funds,485,484,204283.7716,702.69977,4580.273248,0.475891848
3,Nov-2024,AIF,23,23,0,0,0,582.1147734
4,Nov-2024,Bank,918,882,150443.8753,1929.02108,0.081287855,777.881881
5,Nov-2024,Corporate,86819,85388,3285484.649,72507.15905,32933.46976,62730.92711
6,Nov-2024,FI,25,25,191.6738951,0.0001068,0,122.9688321
7,Nov-2024,FII,24,24,1.084731,0,0,0
8,Nov-2024,Trusts,2143,2119,50895.88331,10499.31389,17668.42811,1690.943869
9,Nov-2024,Foreign National,1260,1257,777.7526761,0.352,9.511393951,5.998566048
10,Nov-2024,Clearing Member,3297,3083,66.32185683,1.275871768,22.19496178,1.356302944
11,Nov-2024,NRI,108909,108437,68844.83505,686.9955812,8572.750415,2993.526942
12,,,143252892.00,143154589.00,6760107.99,156404.06,403015.86,135532.97
0,Month,Type of Client,Number of Client accounts (other than closed),"Number of Client Accounts
Active ",Demat Value (in Rs Crore) of Equity Security ,Demat Value (in Rs Crore) of Debt Security,Demat Value (in Rs Crore) of MF Security , Demat Value (in Rs Crore) of Others Security
